#' @name Skye_SKP210.spct
#'
#' @title Skye PAR 'Special' Sensor SKP210
#'
#' @note
#' Spectral data digitized from figure in manufacturer's manual.
#' This is typical measured data, and for specific sensor units the
#' calibration data supplied with the sensor must be used as individual
#' may differ in their spectral response. Furthermore, the digigitizing
#' process from figures with a linear scale is prone to errors, which
#' are specially noticeable in regions of low responsivity.
#'
#' Manufacturer: Skye Instruments, Llandrindod Wells, Powys, UK
#' \url{http://www.skyeinstruments.com/}
#'
#' @references
#' Manufacturer's brochure dated 2007-10-03
#'
#' KJ McCree. The action spectrum, absorbance and quantum yield of
#' photosynthesis in crop plants. Agricultural Meteorology. 1971/72
#' Vol 9, pp 191-216
#'
w.length,s.q.response
7.134316860362E2,4.990052521070E1
7.133091365212E2,5.023080499637E1
7.131777368255E2,5.054369561425E1
7.131335946458E2,5.073589167934E1
7.131249172967E2,5.104660865124E1
7.130777367885E2,5.124589766636E1
7.129551872736E2,5.157617745202E1
7.128237875778E2,5.188906806990E1
7.127796453981E2,5.208126413499E1
7.127804572083E2,5.227346020009E1
7.127717798593E2,5.258417717199E1
7.127156085531E2,5.278346618710E1
7.124698383302E2,5.323444052555E1
7.124256961505E2,5.342663659065E1
7.124265079607E2,5.361883265574E1
7.124178306117E2,5.392954962764E1
7.123706501034E2,5.412883864275E1
7.122481005885E2,5.445911842842E1
7.121167008927E2,5.477200904630E1
7.120725587130E2,5.496420511139E1
7.120733705232E2,5.515640117648E1
7.120646931742E2,5.546711814839E1
7.120085218680E2,5.566640716350E1
7.117627516451E2,5.611738150195E1
7.117186094654E2,5.630957756704E1
7.117194212756E2,5.650177363214E1
7.117107439266E2,5.681249060404E1
7.116635634183E2,5.701177961915E1
7.115410139034E2,5.734205940482E1
7.114096142076E2,5.765495002270E1
7.113654720279E2,5.784714608779E1
7.113662838381E2,5.803934215288E1
7.113576064891E2,5.835005912478E1
7.113014351829E2,5.854934813990E1
7.110556649600E2,5.900032247835E1
7.110115227803E2,5.919251854344E1
7.110123345905E2,5.938471460854E1
7.110036572415E2,5.969543158044E1
7.109474859353E2,5.989472059555E1
7.107017157123E2,6.034569493400E1
7.106575735326E2,6.053789099910E1
7.106488961836E2,6.084860797100E1
7.105927248774E2,6.104789698611E1
7.103469546545E2,6.149887132456E1
7.102933233156E2,6.180958829646E1
7.102461428073E2,6.200887731158E1
7.101235932924E2,6.233915709725E1
7.099921935966E2,6.265204771512E1
7.099385622577E2,6.296276468702E1
7.098913817495E2,6.316205370214E1
7.097688322346E2,6.349233348781E1
7.096374325388E2,6.380522410568E1
7.095838011999E2,6.411594107758E1
7.095366206916E2,6.431523009270E1
7.094140711767E2,6.464550987837E1
7.092826714809E2,6.495840049624E1
7.092290401420E2,6.526911746814E1
7.091728688358E2,6.546840648326E1
7.089270986129E2,6.591938082171E1
7.088829564332E2,6.611157688680E1
7.088742790842E2,6.642229385870E1
7.088181077780E2,6.662158287382E1
7.085723375550E2,6.707255721227E1
7.085281953754E2,6.726475327736E1
7.085195180263E2,6.757547024926E1
7.084633467201E2,6.777475926438E1
7.082175764972E2,6.822573360283E1
7.081639451583E2,6.853645057473E1
7.081167646500E2,6.873573958984E1
7.079942151351E2,6.906601937551E1
7.078628154393E2,6.937890999339E1
7.078091841004E2,6.968962696529E1
7.077620035922E2,6.988891598040E1
7.076394540773E2,7.021919576607E1
7.075080543815E2,7.053208638395E1
7.074544230426E2,7.084280335585E1
7.073982517364E2,7.104209237096E1
7.071524815134E2,7.149306670941E1
7.071083393338E2,7.168526277451E1
7.070996619847E2,7.199597974641E1
7.070434906785E2,7.219526876152E1
7.067977204556E2,7.264624309997E1
7.067535782759E2,7.283843916507E1
7.067449009269E2,7.314915613697E1
7.066887296207E2,7.334844515208E1
7.064429593977E2,7.379941949053E1
7.063893280588E2,7.411013646243E1
7.063421475506E2,7.430942547755E1
7.062195980357E2,7.463970526322E1
7.060881983399E2,7.495259588109E1
7.060345670010E2,7.526331285299E1
7.059873864928E2,7.546260186811E1
7.058648369778E2,7.579288165378E1
