#' @name sglux_SG01D_C.spct
#' @note
#' UV-C broadband sensor (filtered SiC sensor, "solar-blind").
#' Original data supplied by the manufacturer as a computer readable file. 
#' This is typical measured data. Individual sensor units
#' are expected to differ to a small degree in spectral response.
#' 
#' Manufacturer: sglux SolGel Technologies GmbH, Berlin, Germany
#' \url{http://www.sglux.com/}
#'
#' @references personal communication from Dr.\ Stefan Langer
#'
w.length,s.e.response,reference
369.012,8.43775E-14,7.2611E-8
367.997,9.174125E-14,7.208375E-8
366.982,9.95475E-14,7.153138E-8
366.004,1.071475E-13,7.107625E-8
364.988,1.159062E-13,7.0742E-8
364.01,1.237237E-13,7.051762E-8
362.994,1.307225E-13,7.042625E-8
362.016,1.359538E-13,7.039563E-8
361,1.433125E-13,7.044825E-8
359.983,1.497137E-13,7.056038E-8
359.005,1.052959E-12,8.007E-8
357.988,1.076174E-12,8.033825E-8
357.009,1.094685E-12,8.053675E-8
355.992,1.117281E-12,8.075112E-8
355.013,1.135325E-12,8.091163E-8
353.996,1.150951E-12,8.100213E-8
353.016,1.174165E-12,8.111887E-8
351.999,1.197091E-12,8.120337E-8
351.019,1.219244E-12,8.133937E-8
350.001,1.240147E-12,8.12825E-8
348.983,1.264683E-12,8.126013E-8
348.003,1.290451E-12,8.112825E-8
346.985,1.317395E-12,8.100187E-8
346.005,1.341879E-12,8.09175E-8
344.986,1.361289E-12,8.074363E-8
344.005,1.384486E-12,8.044063E-8
342.987,1.408531E-12,8.013787E-8
342.005,1.431223E-12,7.97775E-8
340.987,1.461899E-12,7.937375E-8
340.005,1.493321E-12,7.86445E-8
338.986,1.541494E-12,7.787788E-8
338.005,1.596409E-12,7.714488E-8
336.985,1.656309E-12,7.62925E-8
336.003,1.717525E-12,7.5276E-8
334.984,1.790618E-12,7.410962E-8
334.002,1.861379E-12,7.299888E-8
332.982,1.931921E-12,7.178362E-8
332,1.991143E-12,7.076225E-8
331.017,3.805075E-12,6.9413E-8
329.997,4.215925E-12,6.815562E-8
329.014,4.531562E-12,6.70895E-8
327.994,4.784375E-12,6.592263E-8
327.011,4.953925E-12,6.477038E-8
325.99,5.017663E-12,6.36005E-8
325.007,4.964538E-12,6.261913E-8
323.985,4.823325E-12,6.160738E-8
323.002,4.6077E-12,6.051288E-8
322.019,4.318163E-12,5.948212E-8
320.997,4.045412E-12,5.852875E-8
320.013,3.800125E-12,5.761837E-8
318.991,3.582125E-12,5.667912E-8
318.008,3.401763E-12,5.565125E-8
316.986,3.270862E-12,5.477737E-8
316.002,3.193637E-12,5.39405E-8
315.017,3.144025E-12,5.306225E-8
313.995,3.122288E-12,5.210188E-8
313.01,3.117575E-12,5.123338E-8
311.987,3.13515E-12,5.032225E-8
311.003,3.165212E-12,4.949363E-8
310.018,3.228588E-12,4.845662E-8
308.995,3.317025E-12,4.7459E-8
308.01,3.421975E-12,4.662025E-8
306.986,3.5761E-12,4.574113E-8
306.001,3.7772E-12,4.473638E-8
305.016,4.056275E-12,4.379688E-8
303.992,4.40955E-12,4.283275E-8
303.007,4.832988E-12,4.1943E-8
301.983,5.426012E-12,4.090388E-8
300.997,6.279612E-12,3.97895E-8
300.011,7.176025E-12,3.8922E-8
298.987,8.484162E-12,3.792125E-8
298,1.02773E-11,3.680038E-8
297.014,1.325426E-11,3.55935E-8
295.99,1.62673E-11,3.452838E-8
295.003,1.963307E-11,3.345837E-8
294.016,3.278963E-11,3.232112E-8
292.991,5.152125E-11,3.100675E-8
292.004,8.060587E-11,3.0001E-8
291.017,1.317258E-10,2.891687E-8
289.992,2.4588E-10,2.76845E-8
289.005,4.914675E-10,2.644987E-8
288.017,8.878675E-10,2.544025E-8
286.992,1.505673E-9,2.437787E-8
286.004,2.308563E-9,2.329675E-8
285.017,3.323262E-9,2.218075E-8
283.991,4.267363E-9,2.128175E-8
283.003,5.135538E-9,2.045E-8
282.015,6.006575E-9,1.957438E-8
280.989,6.89655E-9,1.866063E-8
280.001,7.624225E-9,1.791048E-8
279.013,8.197488E-9,1.717517E-8
277.986,8.661113E-9,1.638721E-8
276.998,8.924238E-9,1.561328E-8
276.009,8.9701E-9,1.493125E-8
274.982,8.865525E-9,1.431662E-8
273.993,8.669025E-9,1.379048E-8
273.004,8.393337E-9,1.313003E-8
272.015,8.11995E-9,1.260768E-8
270.988,7.82515E-9,1.205567E-8
269.999,7.530787E-9,1.154964E-8
269.009,7.193813E-9,1.097966E-8
267.982,6.849275E-9,1.045131E-8
266.992,6.553888E-9,1.001411E-8
266.003,6.25615E-9,9.598075E-9
265.013,5.917413E-9,9.082612E-9
263.986,5.574712E-9,8.59985E-9
262.996,5.268062E-9,8.1697E-9
262.005,4.965275E-9,7.748437E-9
261.015,4.638087E-9,7.278687E-9
259.987,4.3079E-9,6.815738E-9
258.997,4.049962E-9,6.470912E-9
258.006,3.790325E-9,6.122037E-9
257.016,3.507388E-9,5.7223E-9
255.987,3.230575E-9,5.344675E-9
254.996,2.991238E-9,5.0147E-9
254.006,2.7632E-9,4.6977E-9
253.015,2.524025E-9,4.3645E-9
251.986,2.297812E-9,4.05125E-9
250.994,2.123087E-9,3.805125E-9
250.003,1.958725E-9,3.575675E-9
249.012,1.780719E-9,3.312812E-9
247.983,1.619259E-9,3.074312E-9
246.991,1.48315E-9,2.869037E-9
246,1.359556E-9,2.681275E-9
245.008,1.232928E-9,2.481225E-9
244.016,1.12283E-9,2.31035E-9
242.986,1.025949E-9,2.1527E-9
241.994,9.416625E-10,2.0192E-9
241.002,8.50905E-10,1.863437E-9
240.01,7.692475E-10,1.714469E-9
239.018,6.9656E-10,1.586735E-9
237.988,6.245025E-10,1.460638E-9
236.996,5.550525E-10,1.334237E-9
236.003,4.961025E-10,1.23318E-9
235.011,4.449738E-10,1.140741E-9
234.018,3.953313E-10,1.047085E-9
232.987,3.44005E-10,9.50405E-10
231.994,2.996538E-10,8.720512E-10
231.001,2.608175E-10,7.976013E-10
230.009,2.237713E-10,7.22425E-10
229.016,1.874863E-10,6.523787E-10
227.984,1.57442E-10,5.950275E-10
226.991,1.345734E-10,5.492013E-10
225.998,1.114854E-10,5.009913E-10
225.004,8.974812E-11,4.556963E-10
224.011,7.28255E-11,4.213113E-10
223.018,5.836875E-11,3.881625E-10
221.985,4.537388E-11,3.581987E-10
220.992,3.395663E-11,3.298063E-10
219.998,2.611488E-11,3.099225E-10
219.004,1.976962E-11,2.912025E-10
218.01,1.436956E-11,2.734112E-10
217.016,9.958962E-12,2.56725E-10
215.984,6.943138E-12,2.434875E-10
214.99,4.888025E-12,2.321775E-10
213.996,3.423725E-12,2.217125E-10
213.001,2.449775E-12,2.1161E-10
212.007,1.991112E-12,2.0464E-10
211.013,1.598096E-12,1.979963E-10
210.018,1.514164E-12,1.91655E-10
208.985,1.470211E-12,1.8522E-10
207.99,1.447875E-12,1.805225E-10
206.995,1.426571E-12,1.76295E-10
206,1.416391E-12,1.718662E-10
205.005,1.396821E-12,1.679025E-10
204.011,1.38616E-12,1.659778E-10
203.016,1.376101E-12,1.637799E-10
201.982,1.364053E-12,1.604778E-10
200.987,1.353756E-12,1.575003E-10
199.991,1.340121E-12,1.54853E-10
